ID,Activity,Time stamp,Feed back,Work Time
1,開始,06-19 07:12:27,,
1,終了,06-19 07:47:19,"Python,ITパスポート",0時間34分
3,開始,06-23 07:32:24,,
3,終了,06-23 07:48:47,"Python,SQL",0時間16分
5,開始,06-24 07:35:22,,
5,終了,06-24 07:51:05,Python,0時間15分
7,開始,06-24 23:06:31,,
7,終了,06-24 23:17:49,ITパスポート,0時間11分
9,開始,06-25 07:24:14,,
9,終了,06-25 07:54:38,Python,0時間30分
11,開始,06-26 07:04:13,,
11,終了,06-26 07:15:51,"ITパスポート,まとめ",0時間11分
13,開始,06-26 07:20:41,,
13,終了,06-26 07:49:03,"Python,ITパスポート,SQL",0時間28分
15,開始,06-27 07:33:38,,
15,終了,06-27 07:53:15,"Python,まとめ",0時間19分
17,開始,06-28 08:55:16,,
17,終了,06-28 09:14:38,"SQL,Python,まとめ",0時間19分
19,開始,06-29 08:52:05,,
19,終了,06-29 09:21:08,"SQL,Python,まとめ",0時間29分
21,開始,06-30 07:09:53,,
21,終了,06-30 07:52:50,"SQL,Python,ITパスポート",0時間42分
23,開始,06-30 23:08:21,,
23,終了,06-30 23:23:57,"ITパスポート,まとめ",0時間15分
