ID,Activity,Time stamp,Feed back,Work Time
1,開始,09-07 12:52:49,,
1,終了,09-07 13:17:42,Python,0時間24分
3,開始,09-07 22:20:07,,
3,終了,09-07 22:41:48,Python,0時間21分
5,開始,09-08 22:55:26,,
6,終了,09-08 23:10:20,HTML,0時間15分
7,開始,09-10 07:27:53,,
7,終了,09-10 07:53:37,HTML,0時間25分
9,開始,09-10 07:53:59,,
9,終了,09-10 07:58:14,Python,0時間4分
11,開始,09-10 12:47:42,,
11,終了,09-10 12:59:13,Python,0時間11分
13,開始,09-10 22:13:37,,
13,終了,09-10 22:30:04,Python,0時間16分
15,開始,09-11 22:40:48,,
15,終了,09-11 22:47:55,Python,0時間7分
17,開始,09-12 22:51:02,,
17,終了,09-12 22:57:57,Python,0時間6分
19,開始,09-15 09:06:00,,
19,終了,09-15 09:18:38,Python,0時間12分
21,開始,09-15 22:36:34,,
21,終了,09-15 22:42:57,Python,0時間6分
23,開始,09-17 08:37:31,,
23,終了,09-17 08:44:43,Python,0時間7分
25,開始,09-17 22:31:28,,
25,終了,09-17 22:44:42,"Python,AWS",0時間13分
27,開始,09-18 22:22:35,,
27,終了,09-18 22:39:50,"Python,AWS",0時間17分
29,開始,09-19 06:37:55,,
29,終了,09-19 06:52:46,Python,0時間14分
31,開始,09-19 06:58:38,,
31,終了,09-19 07:13:25,"Python,AWS",0時間14分
33,開始,09-21 20:46:52,,
33,終了,09-21 21:11:20,Python,0時間24分
35,開始,09-21 21:22:12,,
35,終了,09-21 21:47:17,AWS,0時間25分
37,開始,09-21 22:50:05,,
37,終了,09-21 22:15:44,ITパスポート,0時間25分
39,開始,09-22 23:55:09,,
39,終了,09-23 00:35:45,"AWS,ITパスポート",0時間40分
41,開始,09-23 11:40:49,,
41,終了,09-23 12:03:47,Python,0時間22分
43,開始,09-23 12:21:38,,
43,終了,09-23 12:41:47,,0時間20分
45,開始,09-23 13:59:02,,
45,終了,09-23 14:33:09,ITパスポート,0時間34分
47,開始,09-23 18:16:54,,
47,終了,09-23 18:19:42,Python,0時間2分
49,開始,09-23 20:14:30,,
49,終了,09-23 20:51:26,Python,0時間36分
51,開始,09-23 21:35:14,,
51,終了,09-23 22:13:25,"AWS,ITパスポート",0時間38分
53,開始,09-24 21:39:42,,
53,終了,09-24 21:46:08,AWS,0時間6分
55,開始,09-24 22:24:02,,
55,終了,09-24 22:41:13,ITパスポート,0時間17分
57,開始,09-25 22:30:16,,
57,終了,09-25 22:49:32,ITパスポート,0時間19分
59,開始,09-25 22:49:55,,
59,終了,09-25 23:13:37,AWS,0時間23分
61,開始,09-26 22:19:49,,
61,終了,09-26 23:16:37,ITパスポート,0時間56分
63,開始,09-27 09:14:07,,
63,終了,09-27 09:20:40,Python,0時間6分
65,開始,09-29 20:16:25,,
65,終了,09-29 21:01:54,ITパスポート,0時間45分
67,開始,09-29 21:32:54,,
67,終了,09-29 22:03:42,Python,0時間30分
69,開始,09-29 23:16:25,,
69,終了,09-29 23:30:13,Python,0時間13分
71,開始,09-30 02:08:32,,
71,終了,09-30 02:39:31,ITパスポート,0時間30分
73,開始,09-30 20:22:24,,
