ID,Activity,Time stamp,Feed back,Work Time
1,開始,10-01 12:40:24,,
1,終了,10-01 12:50:16,ITパスポート,0時間9分
3,開始,10-01 21:08:10,,
3,終了,10-01 22:02:31,Python,0時間54分
5,開始,10-01 22:28:24,,
5,終了,10-01 22:35:42,ITパスポート,0時間7分
7,開始,10-02 21:50:49,,
7,終了,10-02 22:25:02,"Python,ITパスポート",0時間34分
9,開始,10-03 22:31:20,,
9,終了,10-03 22:53:57,"AWS,ITパスポート",0時間22分
11,開始,10-04 08:30:41,,
11,終了,10-04 09:00:55,ITパスポート,0時間30分
13,開始,10-05 08:46:47,,
13,終了,10-05 09:18:33,"Python,ITパスポート",0時間31分
15,開始,10-08 21:30:25,,
15,終了,10-08 22:00:28,Python,0時間30分
17,開始,10-08 22:35:17,,
19,終了,10-08 22:43:34,"ITパスポート,勤怠修正",0時間8分
19,開始,10-09 06:55:46,,
19,終了,10-09 07:19:45,Python,0時間23分
21,開始,10-09 21:51:10,,
21,終了,10-09 22:12:46,ITパスポート,0時間21分
23,開始,10-11 14:27:35,,
23,終了,10-11 14:57:42,"Python,AWS",0時間30分
25,開始,10-12 23:13:16,,
25,終了,10-12 23:45:21,ITパスポート,0時間32分
27,開始,10-12 23:58:53,,
27,終了,10-13 00:24:45,Python,0時間25分
29,開始,10-13 10:45:37,,
29,終了,10-13 11:12:30,Python,0時間26分
31,開始,10-13 11:14:37,,
31,終了,10-13 11:25:51,ITパスポート,0時間11分
33,開始,10-13 12:50:34,,
33,終了,10-13 13:37:11,Python,0時間47分
35,開始,10-13 13:40:07,,
35,終了,10-13 13:47:26,Python,0時間7分
37,開始,10-14 19:16:12,,
37,終了,10-14 20:22:40,ITパスポート,1時間6分
39,開始,10-15 21:52:16,,
39,終了,10-15 22:16:49,Python,0時間24分
41,開始,10-16 22:20:50,,
41,終了,10-16 22:33:55,ITパスポート,0時間13分
43,開始,10-21 08:30:48,,
43,終了,10-21 12:45:52,,0時間15分
45,開始,10-22 17:35:29,,
45,終了,10-22 18:12:30,Python,0時間37分
47,開始,10-26 14:22:35,,
47,終了,10-26 14:39:58,Python,0時間17分
49,開始,10-26 16:02:18,,
49,終了,10-26 16:22:54,ITパスポート,0時間20分
51,開始,10-26 16:44:51,,
51,終了,10-26 17:06:37,ITパスポート,0時間21分
53,開始,10-26 22:10:36,,
53,終了,10-26 22:39:46,"Python,ITパスポート",0時間29分
55,開始,10-27 22:13:26,,
55,終了,10-27 22:33:19,ITパスポート,0時間19分
57,開始,10-28 22:28:36,,
57,終了,10-28 23:12:44,"Python,ITパスポート",0時間44分
59,開始,10-29 12:53:23,,
59,終了,10-29 12:56:53,ITパスポート,0時間3分
61,開始,10-29 22:22:42,,
61,終了,10-29 22:33:12,ITパスポート,0時間10分
63,開始,10-30 22:18:41,,
63,終了,10-30 22:28:19,ITパスポート,0時間9分
65,開始,10-31 06:53:17,,
65,終了,10-31 07:01:09,Python,0時間7分
