ID,Activity,Time stamp,Feed back
1,開始,2025-05-26 07:42:55.621916,
2,終了,2025-05-27 07:38:47.321067,
3,開始,2025-05-27 07:39:03.198521,
4,終了,2025-05-27 07:48:54.846240,
5,開始,2025-05-29 07:19:10.493427,
6,終了,2025-05-29 07:50:30.055890,Python
7,開始,2025-05-29 07:51:04.607583,
8,終了,2025-05-29 07:55:54.720198,ITパスポート
9,開始,2025-05-30 07:29:46.222118,
11,終了,2025-05-30 07:43:50.216385,Python
