ID,Activity,Time stamp,Feed back
1,開始,2025-03-13 07:28:42.761126,
2,終了,2025-03-13 07:47:02.568084,プロゲートSQL
3,開始,2025-03-13 07:47:09.586513,
4,終了,2025-03-13 07:55:40.551918,Python
5,開始,2025-03-16 04:38:36.039992,
6,終了,2025-03-16 05:20:43.895247,プロゲートSQL
7,開始,2025-03-17 01:12:41.972191,
8,終了,2025-03-17 01:49:14.368543,Python Test
9,開始,2025-03-17 01:49:17.142036,
10,終了,2025-03-17 02:01:53.459661,プロゲートPython
11,開始,2025-03-18 07:38:50.922960,
12,終了,2025-03-18 08:06:24.821025,
13,開始,2025-03-18 22:18:41.153292,
14,終了,2025-03-18 22:45:14.380258,Python
15,開始,2025-03-18 22:45:31.043630,
16,終了,2025-03-18 22:56:10.191339,プロゲートSQL
17,開始,2025-03-19 07:32:07.008178,
18,終了,2025-03-19 07:48:52.403324,Python Test
19,開始,2025-03-21 07:36:57.117630,
20,終了,2025-03-21 07:58:34.507825,プロゲートSQL
21,開始,2025-03-23 15:13:05.488900,
22,終了,2025-03-23 16:23:48.919464,Python
23,開始,2025-03-23 17:15:17.397835,
24,終了,2025-03-23 18:50:49.368700,Python
25,開始,2025-03-23 21:39:13.057449,
26,終了,2025-03-23 22:10:16.553625,Python Test
27,開始,2025-03-24 07:29:42.193770,
28,終了,2025-03-24 07:50:14.362556,itパスポート
29,開始,2025-03-24 07:50:30.901105,
30,終了,2025-03-24 07:56:06.718483,プロゲートSQL
31,開始,2025-03-24 22:25:29.801735,
32,終了,2025-03-24 22:40:58.387339,SQL
33,開始,2025-03-24 22:49:08.982331,
34,終了,2025-03-24 22:55:25.958217,ITパスポート
35,開始,2025-03-26 07:41:45.904399,
36,終了,2025-03-26 07:46:52.216957,SQL
37,開始,2025-03-26 07:50:17.894142,
38,終了,2025-03-26 07:58:29.261323,ITパスポート
39,開始,2025-03-28 07:45:53.026964,
40,終了,2025-03-28 07:47:16.798426,SQL
41,開始,2025-03-28 07:48:15.096282,
42,終了,2025-03-28 07:50:50.205136,プロゲートPython
43,開始,2025-03-29 12:55:40.514798,
44,終了,2025-03-29 13:00:08.950583,Python Test
45,開始,2025-03-29 18:27:45.479034,
46,終了,2025-03-29 18:47:40.114393,Python Test
47,開始,2025-03-29 18:48:21.162218,
48,終了,2025-03-29 18:49:22.117114,SQL
49,開始,2025-03-30 12:50:48.133791,
50,終了,2025-03-30 12:56:08.180220,Python
51,開始,2025-03-31 07:41:19.800137,
52,終了,2025-03-31 07:53:16.215750,"プロゲートPython,SQL"
