ID,Activity,Time stamp,Feed back
1,開始,2025-02-23 23:53:50.621445,
2,終了,2025-02-24 00:09:18.924442,プロゲート
3,開始,2025-02-24 23:06:31.461386,
4,終了,2025-02-24 23:09:55.279940,Python
6,開始,2025-02-24 23:41:06.468938,
6,終了,2025-02-24 23:52:31.286799,itパスポートテスト7問
7,開始,2025-02-25 22:52:55.719966,
8,終了,2025-02-25 23:04:18.058034,itパスポートテスト
9,開始,2025-02-25 23:09:10.500452,
10,終了,2025-02-25 23:33:34.293561,Python
11,開始,2025-02-26 08:32:42.861995,
13,終了,2025-02-26 08:44:18.177025,プロゲート
13,開始,2025-02-27 07:29:49.233215,
14,終了,2025-02-27 07:55:17.283664,Python
15,開始,2025-02-27 21:37:09.959885,
